"ID","Name","Image","Rank","Alignment","Life","Stamina","Morale","Attack","Counterattack","Speed","Defence","Ranged defence","Resistance","Ranged attack","Shooting range","Ammo","Experience","Experience modifier","Gold payment","Crystal payment","Payment","Gold price","Crystal price","Price","Trophies","Type","Class","Resources","Castle unit","Can be retrained from","Can be retrained to","Similar units","Unit at a certain level","Ways to get","Reborn in","Abilities","Description"
"116","Bog Champion","","3","Neutral","48","16","12","18","18","2","4","3","3","0","0","0","70","180","40","3","64","250","4","282","Trophies","Mortal, Lizardman","Infantry","","no","","","","0, 10, 20, 30, 100","Eternal Spring (building), fortifications in the province of the race Lizardmen","","Level 0:  						Regeneration (2),  						Swamp Knowledge +2 x3,  						Lizardman 2 				Level 1:  						Hit Points +2 x4,  						Attack +1 x4,  						Defense +1 x6,  						Morale +2 x4 				Level 2:  						Stamina +2 x4,  						Counterattack +1 x4,  						Resistance +1 x3,  						Regeneration +1 x4 				Level 3:  						Ranged Defense +1 x6,  						Stunning Blow +1 x4 				Level 4:  						Damage Armor x2 				Level 5:  						Health +1 x3,  						Swamp Rage +1 x3 				Level 6:  						Forced March 				Level 9:  						Strength +1 x4 				Level 10:  						Counterattack +2 x4 				Level 11:  						Attack +2 x2 				Level 12:  						Stamina +3 x3,  						Willpower +1 x2 				Level 13:  						Hit Points +3 x3,  						Poison Immunity 				Level 14:  						Health +2 x3,  						Armorpiercing Strike 				Level 15:  						Morale +3 x3 				Level 16:  						Attack +3 x2 				Level 18:  						Resistance +2,  						Crippling Strike (2) 				Level 19:  						Ranged Defense +2 				Level 20:  						Armor +2","There are various castes among lizardman society, based on skin color. Commoners have various shades of green and rarely hold a significant position of power. Yellow-scaled lizardmen belong to the warrior caste, and are called Bog Champions. Those from this caste who prove their worth are regarded as leaders and champions of the lizardfolk. These bastions of the swamps fight valiantly to preserve their land and can often be found at the head of large groups. In battle, Champions protect their allies very skillfully, helping them in every possible way. Like most lizardmen, their excellent health allows them to recover even from severe wounds, and their natural abilities allow them free movement through the swamp."
"117","Hisser","","4","Neutral","36","15","12","7","7","2","5","7","10","18","6","7","140","310","70","16","198","360","90","1.080","Trophies","Mortal, Lizardman","Spellcaster","","no","","","","0, 10, 20, 30, 100","Temple of Strength (building), fortifications in the province of the race Lizardmen","","Level 0:  						Magic Shot,  						Regeneration +1,  						Lizardman 2,  						Geyser,  						Summon Water Elemental,  						Swamp Knowledge +2 x4 				Level 1:  						Hit Points +1 x4,  						Ranged Attack +1 x4,  						Resistance +1 x3,  						Ammo +1 x4,  						Energy Control +1 x7 				Level 2:  						Stamina +1 x3,  						Morale +2 x3,  						Magic Strike 				Level 3:  						Counterattack +1 x2,  						Meditation +1 x3,  						Power Word - Pain 				Level 4:  						Ranged Defense +1 x3 				Level 5:  						Swamp Rage +1 x2,  						Spellpower +1 x3 				Level 6:  						Attack +1 x4,  						Power Word - Curse 				Level 7:  						Resistance +2 x3 				Level 8:  						Stamina +2 x7,  						Defense +1 x2,  						Spell Duration +1 x2 				Level 9:  						Hit Points +2 x6,  						Ranged Attack +2 x5 				Level 10:  						Power Word - Hold 				Level 12:  						Range +1 				Level 14:  						Ammo +2 x2,  						Willpower +1 x2 				Level 18:  						Thaumaturgy +1 				Level 19:  						Ranged Attack +3 				Level 20:  						Willpower +2","Another caste in lizardman society bears red or purple scales, representing the apex of lizardman hierarchy. These powerful practitioners of magic are usually the leaders of large cities and armies. Particularly a red-scaled lizardman is destined to become the supreme ruler of the lizardfolk. Their authority is absolute, and in addition to being excellent mages, spellcasters are in fact in direct contact with their deities, thus strengthening their established seat of power through divine rule. It is said that the gods speak to the shamans, and they don't hesitate to abuse that notion of course, and manipulate their society as they see fit, presenting their own desires as the will of the gods. Spellcasters reluctantly join in battle, yet they do not fear it and they don't show their enemies any mercy, nor their own soldiers."
"118","Water Elemental","","5","Neutral","28","10","10","5","6","2","6","8","2","9","5","6","38","150","36","4","68","180","20","340","Trophies","Elemental Spirit, Natural Weapon","Spellcaster","","no","","","Air Elemental, Earth Elemental, Fire Elemental","0, 10, 20, 30, 100","","","Level 0:  						Elemental,  						Magic Shot,  						Water Elemental,  						Healing (7),  						Incorporeality 				Level 1:  						Hit Points +1 x7,  						Ranged Attack +1 x5,  						Counterattack +1 x5,  						Healing +1 x5 				Level 2:  						Stamina +1 x6,  						Resistance +1 x5,  						Defense +1 x5 				Level 3:  						Ammo +1 x6,  						Attack +1 x5,  						Spellpower +1 x3 				Level 4:  						Ranged Defense +1 x5 				Level 6:  						Range +1 x2 				Level 7:  						Thaumaturgy +1 x2 				Level 14:  						Stamina +2 x4 				Level 15:  						Hit Points +2 x3 				Level 16:  						Ranged Attack +2 x2 				Level 17:  						Resistance +2 x2","Elemental spirits live on their own Planes, and usually do not leave them voluntarily. Some powerful spellcasters are able to summon them to the Material Plane for a short time. The spirits materialize in a ""body"" composed of their element - this is the only way they can withstand hostile environment. The elemental spirit of water crushes its enemies under thick, conjured blocks of ice. In addition, a water elemental can heal wounds. One option to combat elementals is to banish them back to their plane - a difficult task, but not impossible. Weapons often struggle to pierce the water elemental, and strong magic is required to afflict its glowing presence."
"119","Veteran Slinger","","1","Neutral","13","12","10","3","3","2","1","2","2","6","4","10","25","90","7","0","7","30","0","30","Trophies","Mortal, Human","Ranged","","no","Slinger (at level 13)","","","0, 10, 20, 30, 100","","","Level 0:  						Collect Ammo,  						Recuperation +2,  						Stunning Shot +2 				Level 1:  						Hit Points +1 x5,  						Stamina +1 x4 				Level 2:  						Defense +1 x2,  						Recuperation +1 x3 				Level 3:  						Ranged Attack +1 x5,  						Armor Piercing Shot 				Level 4:  						Resistance +1 x3,  						Counterattack +1 x4 				Level 5:  						Attack +1 x2 				Level 6:  						Morale +2 x3,  						Ranged Defense +1 x2 				Level 8:  						Ammo +1 x2,  						Range +1 				Level 9:  						Stunning Shot +1 x2 				Level 10:  						Crippling Shot (2) 				Level 12:  						Hit Points +2 x3 				Level 17:  						Stamina +2 				Level 19:  						Health +1 				Level 20:  						Health +2","After spending a certain time in service, inexperienced youths can become veteran slingers. These young men are provided small bucklers to help them survive the battlefield without hindering their ability to hurl their projectiles at the enemy. Besides their light leather armor and helmet, this significantly increases their chances of staying alive. Experienced veteran slingers are capable of quickly shooting down their targets, as long as they're not forced into melee."
"120","Sentinel","","1","Lawful","23","12","11","6","11","1","5","4","2","0","0","0","30","105","12","0","12","65","0","65","Trophies","Mortal, Human","Infantry","","no","Pikeman (at level 17)","","","0, 10, 20, 30, 100","mercenary hiring","","Level 0:  						First Strike,  						Recuperation +1 x3,  						Agility,  						Forced March,  						First Aid +1 x5,  						Armorpiercing Strike,  						Evasion Strategy,  						Pike Wall,  						Keep Running! 				Level 1:  						Hit Points +1 x3,  						Resistance +1 x4,  						Morale +2 x4 				Level 2:  						Counterattack +1 x6,  						Stamina +1 x3,  						Damage Armor 				Level 3:  						Ranged Defense +1 x4 				Level 6:  						Defense +1 x3 				Level 7:  						Hit Points +2 x3 				Level 8:  						Stamina +2 x4,  						Attack +1 x2 				Level 13:  						Hit Points +3 x3 				Level 15:  						Morale +3 x2 				Level 16:  						Health +1 				Level 17:  						Willpower +1,  						Armor +1 				Level 18:  						Stamina +3,  						Counterattack +2 				Level 19:  						Health +2 x2 				Level 20:  						Strength +1","While pikemen are tasked with facing enemies of one particular city, sentinels are seasoned veterans who ensure the safety of the people with their oaths to prevent any bloodshed. Adding chain mail and plate armor, armed with lances, these fighters are able to tightly block any passage, holding it as long as necessary. Their long reach can strike a foe before he can even approach. Sentinels also wear strong platemail to prevent grave injuries. Armed with well-forged weapons and suited in superior armor, sentinels are trained to withstand blows that would ordinarily cripple a man. Enemy forces will have to put in a lot of effort to merely budge these combatants."
"121","Grand Healer","","1","Good","13","10","11","3","4","2","1","1","5","0","2","7","23","115","10","2","26","50","10","130","Trophies","Mortal, Human","Spellcaster","","no","Healer (at level 21)","","","0, 10, 20, 30, 100","Wolf Thicket (site), mercenary hiring","","Level 0:  						Healing (7),  						Meditation +1,  						First Aid +3 				Level 1:  						Hit Points +1 x6,  						Morale +2 x5,  						Resistance +1 x6 				Level 2:  						Stamina +1 x6,  						Counterattack +1 x3 				Level 4:  						Ranged Defense +1 x3,  						First Aid +1 x2 				Level 5:  						Ammo +1 x3 				Level 6:  						Healing +1 x3 				Level 7:  						Attack +1 				Level 8:  						Defense +1 x4 				Level 13:  						Hit Points +2 x4 				Level 14:  						Stamina +2 x2 				Level 17:  						Willpower +1 x2 				Level 18:  						Health +1 x2","After receiving the blessing of the Eagle God, a healer can be promoted to grand healer. Their healing capacity increases as a result, both in quality and in reach over distance. Like ordinary healers, however, their vulnerability is evident and they need outside protection."
"122","Wind Seekers","","1","Neutral","16","11","10","5","6","3","1","1","1","5","4","6","20","90","8","0","8","40","0","40","Trophies","Mortal, Centaur","Ranged","","no","","","Wind Runner, Wind Eclipser, Wind Roar","0, 10, 20, 30, 100","Centaur Tents (building), fortifications in the province of the race Centaurs","","Level 0:  						Forest Knowledge +2,  						Surge of Strength +1 x2,  						Ranged Support 				Level 1:  						Stamina +1 x2,  						Morale +2 x4,  						Attack +1 x4,  						Ammo +1 x6 				Level 2:  						Hit Points +1 x5,  						Ranged Defense +1 x5,  						Resistance +1 x3,  						Ranged Attack +1 x5 				Level 3:  						Counterattack +1 x3,  						Tribe Marksmanship 				Level 4:  						Defense +1 x5,  						Forest Knowledge +1 x2 				Level 5:  						Stamina +2 x4,  						Forager x2 				Level 7:  						Health +1 x4 				Level 8:  						Improved Support 				Level 12:  						Hit Points +2 x5 				Level 13:  						Willpower +1 x2 				Level 15:  						Strength +1 x2 				Level 17:  						Attack +2 				Level 18:  						Powerful Shot","Young centaurs are expected by their parents to learn on the job and accompany the adult warriors and hunters of their tribe. Often times, this results in casualties, which enforces the notion that centaurs must learn from the mistakes of their fallen companions in order to survive the hardships of life. Although - by Centaur standards - these young centaurs (or ""Wind Seekers"" as they are called) are weak and inexperienced, they are no weaker than humans. To accommodate a young centaur's still developing muscles, they are provided bows and quivers in order to stay out of danger. Nevertheless, due to their inherent strength and endurance, these archers are able to compete with any human infantry, especially in forests, where their instincts allow them to effortlessly move through the most impenetrable jungle."
"123","Wind Eclipser","","2","Neutral","36","14","12","16","10","4","2","2","2","0","0","0","35","150","16","0","16","80","0","80","Trophies","Mortal, Centaur","Infantry","","no","","","Wind Runner, Wind Roar","0, 10, 20, 30, 100","Centaur Camp (building), fortifications in the province of the race Centaurs, mercenary hiring","","Level 0:  						Recuperation +1 x5,  						Damage Armor,  						Forest Knowledge +2,  						Surge of Strength +1 x3,  						Strength in Unity,  						Tribe Power 				Level 1:  						Defense +1 x7,  						Stamina +1 x2,  						Morale +2 x5,  						Attack +1 x4 				Level 2:  						Hit Points +2 x7,  						Ranged Defense +1 x7,  						Resistance +1 x3 				Level 3:  						Counterattack +1 x4,  						Tribe Resilience 				Level 4:  						Charge 				Level 5:  						Stamina +2 x4 				Level 7:  						Health +1 x4,  						Forest Knowledge +1 x2 				Level 8:  						Stunning Blow +1 x2 				Level 9:  						Speed +1 				Level 13:  						Attack +2 x3,  						Willpower +1 x2 				Level 15:  						Strength +1 x2 				Level 16:  						Hit Points +3 x3,  						Counterattack +2 x2,  						Armorpiercing Strike","Most people believe that all centaurs are archers. This is definitely far from the truth, and this false assumption may be due to the fact that for their raids centaurs tend to use cavalry with ranged weapons. Such beliefs often lead to a cruel joke being played on commanders that want to seize land the tribe considers theirs. They would encounter an unexpected foe - the Centaur-warrior, or Wind Eclipser. A powerful fighter who lacks neither speed nor muscular strength, allowing him to wield heavy melee weapons. This combination is certain to impress almost any enemy stupid enough to attack a settlement of centaurs. Besides that, these warriors spend all their spare time training and exercising for combat, which means they are experienced and have reached the pinnacle of melee combat skills."
"124","Spirit Talker","","3","Neutral","30","14","11","4","6","3","2","4","5","8","5","6","75","190","56","11","144","280","65","800","Trophies","Mortal, Centaur","Spellcaster","","no","","","","0, 10, 20, 30, 100","Sacred Flame (building), fortifications in the province of the race Centaurs, mercenary hiring","","Level 0:  						Magic Shot,  						Forest Knowledge +2,  						Overwhelming Force,  						Enchanted Arrow,  						Tribe Wisdom +1 x2 				Level 1:  						Hit Points +1 x6,  						Ranged Attack +1 x3,  						Resistance +1 x3,  						Armor Piercing Shot 				Level 2:  						Stamina +1 x4,  						Ammo +1 x5,  						Morale +2 x3,  						Magic Strike 				Level 3:  						Counterattack +1 x3,  						Spellpower +1 x3 				Level 4:  						Ranged Defense +1 x3,  						Meditation +1 				Level 5:  						Double Shot 				Level 6:  						Attack +1 x3,  						Forest Knowledge +1 x2 				Level 7:  						Spell Duration +1 x2 				Level 8:  						Defense +1 x2 				Level 10:  						Stamina +2 x6,  						Thick Fog 				Level 11:  						Ranged Attack +2 x3,  						Range +1 				Level 13:  						Hit Points +2 x4,  						Resistance +2 x2 				Level 14:  						Willpower +1 x2,  						Summon Air Elemental 				Level 20:  						Willpower +2","When a centaur is born, they have a light brown skin. As they age, this color shifts to a red and darker brown. In their elder years, the color fades into an albino state. These wise elder centaurs share their wisdom and experience with their tribes. Among them there are those who possess extraordinary powers. They become shamans - known as spirit talkers - who communicate with the ethereal realm. Younger centaurs care for their elders and respect the shamans, protecting them on the battlefield at all cost. Given their declining strength, spirit talkers use spellcasting in battle, rather than melee combat. They call upon the souls of their ancestors to assist them."
"125","Wind Roar","","4","Neutral","82","22","14","32","26","3","3","4","4","0","0","1","145","300","120","5","160","600","20","760","Trophies","Mortal, Centaur, Giant","Infantry","","no","","","","0, 10, 20, 30, 100","Centaur Stables (building), fortifications in the province of the race Centaurs","","Level 0:  						Recuperation +1,  						Forest Knowledge +2,  						Ancestral Rage,  						Surge of Strength +1 x3,  						Strength in Unity,  						Tribe Might x2 				Level 1:  						Hit Points +3 x4,  						Attack +1 x4,  						Ranged Defense +1 x5,  						Stamina +2 x5 				Level 2:  						Counterattack +1 x5,  						Defense +1 x5 				Level 3:  						Morale +2 x2,  						Forest Knowledge +1 x2 				Level 5:  						Health +1 x3,  						Ammo +1 x2 				Level 6:  						Resistance +1 x3 				Level 7:  						Spell Duration +1 x2 				Level 8:  						Ancestral Shield 				Level 9:  						Strength +1 x4 				Level 11:  						Attack +2 x2 				Level 12:  						Stamina +3 x3 				Level 13:  						Hit Points +4 x3 				Level 14:  						Health +2 x3,  						Counterattack +2 x3 				Level 16:  						Attack +3 x2,  						Armor +1 				Level 17:  						Ranged Defense +2 x2 				Level 20:  						Defense +2","These centaurs are the leaders of their tribes and are markedly different from the others. In the language of the centaurs, these leaders are called ""Abar-na-ming"" which translates as ""Heaven is Might"". Like human monarchs, the role of centaur-chief is hereditary. Some believe that the blood of a centaur-chief transcends mortal aptitude. Each generation's centaur-chief is provided the sword and armor of the previous ruler in order to maintain the image of their clan. With unquestioned authority, the Wind Rumble cares for his tribe like a father cares for his children, and is an example of courage and strength. He wields enormous power, to protect his large ""family"", and does not hesitate to use it, including - although this happens extremely rarely and is very sad - against other Centaurs. In addition to his excellent fighting skills, he is able, like shamans, of calling on his ancestors to request their blessing."
"126","Medium","","1","Champion of Light","8","9","10","3","4","2","0","0","4","0","1","4","18","110","6","1","14","40","8","104","Trophies","Mortal, Elf","Spellcaster","","no","","","","0, 10, 20, 30, 100","Elven Grove (building), fortifications in the province of the race Elves, mercenary hiring","","Level 0:  					Path of Life or  					Path of Tenacity 				Level 0:  						First Aid +1 x5,  						Dispel,  						Forest Knowledge +2,  						Forest Protection,  						Keep Running! 				Level 1:  						Hit Points +1 x6,  						Morale +2 x4,  						Resistance +1 x5 				Level 2:  						Stamina +1 x6,  						Counterattack +1 x3 				Level 3:  						Spiritual Link [Path of Tenacity] 				Level 4:  						Ranged Defense +1 x3,  						Life Bond [Path of Life] 				Level 5:  						Ammo +1 x3 				Level 6:  						Forest Might 				Level 7:  						Attack +1,  						Meditation +1 				Level 8:  						Defense +1 x4 				Level 9:  						Spell Duration +1,  						Astral Energy [Path of Tenacity] 				Level 10:  						Upkeep -20% 				Level 11:  						Spellpower +1 				Level 12:  						Recovery [Path of Life] 				Level 13:  						Hit Points +2 x4 				Level 14:  						Stamina +2 x2 				Level 15:  						Morale +3,  						Forest Blessing [Forest Might Spell] 				Level 17:  						Willpower +1 x2 				Level 18:  						Health +1 x2","Elven servants of the Great Forest often escort other warriors on campaigns, patrols, or battles. Able to channel the healing power of the ancient Elven forests, Mediums turn their bodies into a vessel to strengthen the body and mind of their kin, and unfortunately their gift does not affect them. All mediums are able to fight using offensive magic. Mediums are protected, preventing enemies from coming close, because, like all Elves, they are fragile and vulnerable."
"127","Elven Mistress","","4","Champion of Light","36","14","12","9","9","2","3","7","12","10","5","5","130","310","70","16","198","350","100","1.150","Trophies","Mortal, Elf","Spellcaster","","no","","","","0, 10, 20, 30, 100","Great Tree (building), fortifications in the province of the race Elves","","Level 0:  					Path of the Stars or  					Path of the Sun 				Level 0:  						Forest Knowledge +4,  						First Aid +1,  						Magic Damage,  						Improved Charm 				Level 1:  						Hit Points +1 x4,  						Ranged Attack +2 x10 [Path of the Sun],  						Resistance +1 x3,  						Ammo +1 x3,  						Spellpower +1 x4 [Path of the Stars] 				Level 2:  						Stamina +1 x3,  						Morale +2 x3,  						Ranged Attack +1 x3 [Path of the Stars],  						Attack +1 x4 				Level 3:  						Counterattack +1 x5,  						Electric Shock [Path of the Stars] 				Level 4:  						Ranged Defense +1 x3,  						Energy Control +1 x6,  						Forest Knowledge +2 x3 				Level 5:  						Meditation +1 				Level 8:  						Stamina +2 x7,  						Defense +1 x2,  						Storm [Path of the Stars] 				Level 9:  						Hit Points +2 x6,  						Range +1 [Path of the Sun] 				Level 10:  						Resistance +2 x3,  						Upkeep -20% 				Level 13:  						Arrow Shower [Path of the Stars],  						Solar Blast [Path of the Sun] 				Level 14:  						Ammo +2 x2,  						Ranged Attack +2 x2 [Path of the Stars],  						Willpower +1 x2 				Level 15:  						Range +1,  						Mass Improved Charm [Path of the Stars] 				Level 18:  						Explosive Weapon [Path of the Sun] 				Level 20:  						Willpower +2","Elven women rarely step onto a battlefield, but their presence cannot be underestimated. Despite her fragility and grace, an Elven Mistress who follows the Path of the Sun is a formidable adversary, able to wield her tremendous power to crush enemies from very long range. An Elven Mistress who follows the Path of the Stars can hurl the rage of air elements upon her enemies, and as she gains experience, the deadlier her spells become."
"128","Gang Leader","","1","Evil","21","11","9","11","7","2","2","4","2","0","0","0","30","90","6","0","6","30","0","30","Trophies","Mortal, Human","Infantry","","no","Brigand (at level 12)","","","0, 10, 20, 30, 100","#1899 (event), mercenary hiring","","Level 0:  						Forest Knowledge +2,  						Intimidation +1 x3,  						Crippling Strike (2) 				Level 1:  						Hit Points +1 x4,  						Stamina +1 x6,  						Attack +1 x5,  						Defense +1 x4 				Level 2:  						Ranged Defense +1 x3 				Level 3:  						Counterattack +1 x4 				Level 5:  						Resistance +1 x3 				Level 6:  						Morale +2 x2 				Level 7:  						Forest Knowledge +1 x2 				Level 9:  						Hit Points +2 x4 				Level 12:  						Stamina +2 x2 				Level 16:  						Health +1 x2 				Level 17:  						Hit Points +3 x2 				Level 19:  						Armor +1 				Level 20:  						Health +2,  						Strength +1","The strongest of brigands, should they prove cunning and daring enough to survive that long, often become leaders of their own gangs. Due to the lawless, undisciplined nature of brigands, they tend to only follow a boss who can ""take care of business"". Given the amount of battle experience most gang leaders endure, expectations are usually met, along with filled pockets."
"129","Trapper","","2","Evil","18","11","9","9","6","2","2","4","2","0","0","2","35","110","10","0","10","80","0","80","Trophies","Mortal, Goblin","Infantry","","no","","","Wolf Rider, Beast Master","0, 10, 20, 30, 100","Goblin Hut (building), fortifications in the province of the race Goblins","","Level 0:  						Poison Attack (2),  						Parry (4),  						Set Snare,  						Pathfinder +1,  						Panic,  						Summoning Range +1 				Level 1:  						Hit Points +1 x4,  						Attack +1 x7,  						Ranged Defense +1 x6,  						Set Trap 				Level 2:  						Stamina +1 x3,  						Counterattack +1 x5,  						Resistance +1 x5,  						Summoning Power +1 x3 				Level 3:  						Ammo +1 x2,  						Poison +1 x5 				Level 4:  						Defense +1 x5,  						Precise Strike +1 x3,  						Set Hive 				Level 5:  						Parry (2) 				Level 7:  						Morale +2,  						Agility 				Level 8:  						Stamina +2 x5 				Level 9:  						Hit Points +2 x4 				Level 11:  						Health +1 x4 				Level 12:  						Subdue Beast 				Level 14:  						Strength +1 x2 				Level 15:  						Attack +2 x3,  						Armorpiercing Strike","As experienced trackers, trappers are very skilled at hunting down prey. They prefer light, concealable knives, along with ranged weaponry to take out the bigger game. Their ability to maneuver through even the most dense of jungles allows them to anticipate enemy movements and act accordingly through the use of traps. Although goblin traps are not too dangerous, they can be very unpleasant a surprise."
"130","Beast Master","","3","Evil","19","13","10","8","6","2","2","7","8","0","0","5","70","160","40","10","120","200","45","560","Trophies","Mortal, Goblin","Spellcaster","","no","","","","0, 10, 20, 30, 100","Goblin Ward (building), fortifications in the province of the race Goblins, mercenary hiring","","Level 0:  						First Aid +6,  						Poison Attack (3),  						Hornet swarm,  						Poison Claw,  						Pathfinder +1,  						Panic 				Level 1:  						Hit Points +1 x6,  						Resistance +1 x4,  						Spell Duration +1 x6,  						Magic Strike 				Level 2:  						Stamina +1 x4,  						Ammo +1 x5,  						Morale +2 x3,  						Voracity 				Level 3:  						Counterattack +1 x3,  						Swamp Blood 				Level 4:  						Ranged Defense +1 x3 				Level 5:  						Swamp Knowledge +2 x2 				Level 6:  						Attack +1 x3,  						Prod 				Level 7:  						Subdue Beast 				Level 8:  						Defense +1 x2 				Level 9:  						Meditation +1 				Level 10:  						Stamina +2 x6 				Level 13:  						Hit Points +2 x4,  						Resistance +2 x2,  						Summon Wyvern 				Level 16:  						Willpower +1 x2 				Level 20:  						Willpower +2","When magic powers begin to manifest in a goblin, he almost always focuses on the control of swamp fauna. Some die torn to shreds by monsters when their control slips at the wrong time, but if their talent is strong enough, the little green runt lives to become a serious threat to anyone who crosses them. Beast Masters, as they call themselves, are tough opponents to face, having many ways to weaken their enemies. And let's not forget they usually bring large pets along..."
"131","Ericuba","","4","Neutral","120","22","10","28","22","2","2","4","3","8","2","3","250","300","130","6","178","700","25","900","Trophies","Mortal, Animal, Giant","Giant","","no","","","","0, 10, 20, 30, 100","Ericuba's Egg (item)","","Level 0:  						Agility,  						Swamp Knowledge +4,  						Poison Attack (2),  						Devour,  						Regeneration (2),  						Frenzy (10),  						Crippling Shot (2) 				Level 1:  						Hit Points +3 x4,  						Attack +1 x4,  						Poison Shot (2),  						Stamina +2 x5 				Level 2:  						Counterattack +1 x5,  						Defense +1 x5,  						Ranged Defense +1 x5 				Level 3:  						Morale +2 x2,  						Necrophagy x2 				Level 4:  						Regeneration +1 x4 				Level 5:  						Health +1 x3,  						Poison +1 x3 				Level 6:  						Resistance +1 x3,  						Poison Shot +1 x3 				Level 7:  						Swamp Knowledge +2 				Level 9:  						Strength +1 x4,  						Ammo +1 x2,  						Frenzy +5 x2 				Level 10:  						Crippling Shot +1 				Level 11:  						Attack +2 x2 				Level 12:  						Stamina +3 x3 				Level 13:  						Hit Points +4 x3 				Level 14:  						Health +2 x3,  						Counterattack +2 x3,  						Intimidation (3) 				Level 16:  						Attack +3 x2,  						Armor +1 				Level 17:  						Ranged Defense +2 x2 				Level 20:  						Defense +2","In the swamps, there are many dangerous creatures. Some of them can even be tamed. One of these monsters is the Ericuba - a swamp creature. Goblins sometimes manage to sneak an egg out of one's lair, and even get away with it, except when the angry mother catches up with the thief. When such an egg is carefully stored in a warm and damp place, a small worm soon hatches. It grows very quickly, already taller than a goblin after a few days. In battle, the Ericuba can spit out its long, needle-like, poisonous teeth, causing significant damage and maiming the victim. She has nothing to worry about - they grow back very quickly, constantly renewing themselves in this way. Its poisonous teeth can shred a man to pieces, and the ferocity of its attack shocks enemies so much they freeze in horror. If necessary, an Ericuba may devour an ally to restore its own health. Of course, Ericubas feel at home in even the most impenetrable quagmire - they like to lurk, waiting until ""dinner"" comes too close. For the egg to be turned into a unit for a hero's party it is necessary to build the Monstrologists Guild."
"132","Halfling Rogue","","2","Good","16","10","10","7","7","2","3","5","3","6","3","3","30","100","14","0","14","70","5","110","Trophies","Mortal, Halfling","Infantry","","no","","","Border Guard","0, 10, 20, 30, 100","Halfling Post (building), fortifications in the province of the race Halflings","","Level 0:  						Collect Ammo,  						Agility,  						Stunning Blow +1 x4,  						Parry (2),  						Halfling Rogue 				Level 1:  						Hit Points +1 x4,  						Attack +1 x5,  						Ranged Defense +1 x6,  						Ranged Attack +1 x6 				Level 2:  						Stamina +1 x3,  						Counterattack +1 x5,  						Resistance +1 x5,  						Hills Knowledge +1 				Level 3:  						Ammo +1 x2,  						Scavenger +10 x2 				Level 4:  						Defense +1 x5,  						Parry +2 x4 				Level 5:  						Forest Knowledge +1 				Level 7:  						Morale +2 x2,  						Web Immunity 				Level 8:  						Stamina +2 x5,  						Swamp Knowledge +1 				Level 9:  						Hit Points +2 x4 				Level 10:  						First Strike 				Level 11:  						Health +1 x4 				Level 13:  						Vigilance 				Level 14:  						Strength +1 x2 				Level 17:  						Attack +2 x2","Halflings, by their nature, are an untrustworthy lot. Some neighboring villages have outright banned their kind from entering due to the occurrence of countless thefts. A fair generalization, given the legendary history of their exploits. They are as adventurous as they are greedy for treasure. Given the amount of trouble they get into, many of the more experienced halflings have taken up learning how to defend themselves, despite their natural aversion to violence. The weapon of choice for the halfling rogue are short swords. As a backup, they usually carry a lead-weighted cudgel in the sleeve of their shirt. The high level of agility natural to all halflings allows them to successfully dodge most blows and arrows aimed at them. They are highly adept at finding hiding places like double bottoms in chests or coins sewn into clothes."
"133","Border Sentinel","","3","Good","42","12","10","16","16","2","3","3","2","0","0","0","60","180","70","0","70","350","0","350","Trophies","Mortal, Human","Infantry","","no","","","","0, 10, 20, 30, 100","Border Sentinel (item), mercenary hiring","","Level 0:  						Forced March,  						Parry (4),  						Pathfinder +1 				Level 1:  						Hit Points +1 x9,  						Attack +1 x7,  						Defense +1 x5,  						Counterattack +1 x5 				Level 2:  						Attack +2 x2,  						Ranged Defense +1 x5,  						Parry +2 x5 				Level 3:  						Health +1 x4,  						Strength +1 x5,  						Stamina +1 x3 				Level 4:  						Recuperation +1 x4 				Level 5:  						Resistance +1,  						Armor +1 x3,  						Morale +2 x3 				Level 7:  						Precise Strike +1 x2 				Level 8:  						Stamina +2 x2 				Level 10:  						Resistance +2,  						First Strike 				Level 12:  						Willpower +1 x2 				Level 13:  						Hit Points +2 x3 				Level 15:  						Counterattack +2 x2 				Level 20:  						Ranged Defense +2,  						Defense +2","Halflings usually settle far away from other people's borders, and tend to keep to themselves. Sometimes they do have to deal with various types of ""adventurers"", and occasionally they must protect their land from hostile neighbours. Halflings aren't cut out for this activity, but they make enough money to hire people who can hold a sword. Highly experienced and skilled warriors, border guards tirelessly protect the outskirts of halfling villages, lurking in seemingly impenetrable thickets. Masters of solitary battles, these rangers are able to strike from a seemingly safe distance, and retreat just as quickly."
